questions,types
What is the Total of kyrgyzstan with a Silver smaller than 0?,5
What is the Total that has a number of Nation and a Gold smaller than 16?,2
How many Silvers that have a Rank of 2?,3
What is average round of Auburn College?,5
"Which Top 10 is the lowest one that has Winnings of $405,300, and an Avg Start smaller than 30?",2
How many Wins have a Top 5 smaller than 0?,4
"Which Top 10 has a Top 5 larger than 1, and a Year of 2003, and Poles larger than 0?",5
"How many Top 10s have Wins larger than 0, and Poles larger than 0?",3
What is the Established date of the Ontario Provincial Junior A Hockey League with more than 1 Championship?,0
"With less than 1 Championship, what es the Established date of the Niagara Rugby Union League?",0
What is the Established date of the Brian Timmis Stadium?,0
What is the junior type with an intake of 60 and a DCSF number less than 3386 with the smallest Ofsted number?,0
"How many games have a Record of 7–6–3, and Points smaller than 17?",3
"Which Points have an Opponent of vancouver canucks, and a November smaller than 11?",0
What is the number of March that has 25-10-9 record and a Game more than 44?,0
Which Game has a Record of 27-11-10?,0
"Name the sum of cuts with wins less than 2, top-25 more than 7 and top-10 less than 2",4
"what year has 13,426,901 passengers and more than 10,726,551 international passengers?",4
"what total number of passengers is domestic and larger than 2,803,907 and a year after 1999?",3
What is the number of the station in Suzuka that is smaller than 11.1 km and has an l stop?,4
What is the distance of Kawage station?,4
What is the highest listed year for the partner of Marcel Granollers and a hard surface?,1
What is the average number of borough councilors from Brompton?,5
5 November 2010 of dragon oil 4.02% has what average Date?,5
What is the average number of points for a difference of 55 and an against less than 47?,5
"What is the highest lost that has an against greater than 60, points less than 61 and an 18 drawn?",1
What is the highest lost that has 6 for points?,1
"How many losses have points less than 3, with a drawn greater than 0?",4
"What is the highest winning pct from a team with wins less than 22, losses greater than 4, ties less than 2 and games started greater than 11?",1
"Gold that has a Rank of 6, and a Bronze larger than 0 had what total number of gold?",3
What is the sum of Kilometers that has a Station Code of KGQ?,3
What is the smallest area with 45 population?,2
What is the area located in Rhode Island with more than 38 sq mi area?,0
What is the average area in New York that is larger than 55 sq mi?,5
Which Drawn has a Team of internacional-sp?,0
"How much Lost has a Drawn larger than 5, and a Played larger than 18?",4
Which Drawn is the highest one that has a Played smaller than 18?,1
"Which Drawn is the highest one that has an Against larger than 15, and Points smaller than 15, and a Lost smaller than 9?",1
What's the least amount of floors at 921 sw sixth avenue?,2
What is the smallest position with less than 7 points piloted by Didier Hauss?,2
What is the total number of Round that has a Time of 6:04?,3
"Which Conceded is the highest one that has Points larger than 17, and a Team of guaraní, and Losses smaller than 6?",1
"Which Conceded has Draws smaller than 5, and a Position larger than 6?",0
How many Points have a Played larger than 18?,3
Which Scored has a Team of recoleta?,0
What is the average Entre Ríos Municipality with less than 9 Pojo Municipalities?,5
What is Pocona Municipalities with 72 Totora municipalities and more than 74 pojo municipalities?,0
What is the highest chimore municipalities with 9 pojo municipalities and less than 7 totora municipalities?,1
"What is the lowest number of played games of the team with less than 12 drawns, 41 against, and less than 69 points?",2
What is the highest number of played of the team with less than 11 losses and less than 12 drawns?,1
What is the sum of againsts the team with less than 38 played had?,4
What is the average drawn of the team with a difference of 4 and more than 13 losses?,5
What is the position of the team with more than 16 losses and an against greater than 74?,0
"What is the highest number of points team vitória, which had more than 38 played, had?",1
How large was the total when the E Score was greater than 9.35 and T Score was less than 4?,0
What was the quantity of the A Score when the E Score was larger than 9.566 in the Greece and the T score was more than 4?,0
"What was the total of A Score when the E Score was greater than 9.383, total was less than 19.716 and the T Score was larger than 4?",0
What does the ERP W sum equal for 105.1 fm frequency?,0
Name the average week for result of l 28–17,5
"Adam is less than 1 and Jade is greater than 5 in cycling, what's the plat'num?",0
What is Peter's score in kendo that has a plat'num less than 3?,0
What is Adam's score when Peter's score is less than 3 and the plat'num is greater than 6?,0
"Peter has a score greater than 5 in speed skating, what is the plat'num?",0
What's Adam's score when Jade's score is greater than 5 and Peter's score is less than 0?,0
Old Scotch had less than 9 losses and how much against?,0
"Of the teams that had more than 0 byes, what was the total number of losses?",3
Name the sum of laps for mi-jack conquest racing and points less than 11,3
Name the sum of grid with laps more than 97,3
What are the most wins in 1971 in 250cc class?,1
What is the earliest year with less than 45 points for Yamaha team in 21st rank?,2
"How many Ends Won have Blank Ends smaller than 14, and a Locale of manitoba, and Stolen Ends larger than 13?",3
"How many Stolen Ends have Ends Lost smaller than 44, and Blank Ends smaller than 7?",3
What is the largest number of seats with more than 32 of a MCI make?,1
What is the smallest number of seats in a vehicle currently retired and in quantities less than 8?,2
What is the smallest number of seats in a retired vehicle that was started in service in 1981?,2
What is the earliest game with a position of Re and a smaller number than 95?,2
What is Mike Harris' lowest overall?,2
What is the highest pick # that has a 228 overall and a round less than 7?,1
What is the lowest round of the pick #8 player with an overall greater than 72 from the college of temple?,2
What is the lowest overall of the wide receiver player from a round higher than 5 and a pick lower than 7?,2
How many drawn have points of 6 and lost by fewer than 4?,3
What was the earliest game with a record of 23–6–4?,2
What was the earliest game with a record of 16–4–3?,2
Which ERP W is the highest one that has a Call sign of w255bi?,0
How much Frequency MHz has a Call sign of w264bg?,3
Which ERP W is the lowest one that has a Call sign of w233be?,2
What is the latest task number for which Cathy is head of household?,1
"What is the task number on January 22, 2010 (day 111)?",0
"What was the average week of a game with a result of l 10-7 attended by 37,500?",5
"What was the average attendance on October 30, 1938?",5
How many PATAs does an nForce Professional 3400 MCP have?,3
What's the average crowd when the away team score was 14.14 (98)?,5
What was the crowd size for the Home team of melbourne?,3
What was the fewest entrants in an event won by Grant Hinkle?,2
How many entrants did the events won by Frank Gary average?,3
"Average larger than 2,279, and a Team of queen of the south, and a Capacity larger than 6,412 has what lowest of the sum?",4
"Highest smaller than 3,378, and a Stadium of cappielow has what average capacity?",5
"Can you tell me the sum of Podiums that has the Season of 2006, and the Races larger than 16?",4
"Can you tell me the sum of FLap that has the Pole larger than 0, and the Podiums of 6?",4
Which Year is the highest one that has a Record label of supertone melodies?,1
What was the average attendance when the record was 58–49?,5
What was the attendance when the score was 8–7?,3
What was the attendance for july 18?,3
"What's the largest Fall 08 number when fall 09 is less than 82, fall 06 is 5, and fall 05 is less than 3?",1
What is the mean Fall 09 number where fall 05 is less than 3?,5
"What is the sum amount of fall 05 when fall 08 is more than 5, fall 06 is more than 7, the state is Maryland, and fall 09 is more than 471?",3
What's the smallest fall 05 number when fall 09 is less than 14 and fall 08 is more than 5?,2
"What is the total number of Yds/Att where Net Yds was 1818, and Rank was larger than 1?",3
"What is the lowest Rank when Attempts was 319, and the Year was larger than 2000?",2
"What is the total number of Attempts when Rank was larger than 4, and Net Yds was smaller than 1674?",3
What is the mean game number when the points scored were more than 99?,5
What day in December was the game before game 11 with a record of 7-2-2?,0
What is the day in December of the game against the Boston Bruins?,0
What is the average day in December of the game with a 8-2-3 record?,5
How many seats have a quantity over 45?,3
"What's the sum of Code with a Population that's larger than 1,752, a Most Spoken Language of Xhosa, a Place of Bontrug, and an Area (KM 2) that's larger than 2.33?",4
What's the sum of the Area (KM 2) that's got a Population that's smaller than 90?,4
"What's the lowest Code that's got a Most Spoke Language of Xhosa, a Place of Addo Elephant National Park, and an Area (KM 2) that's smaller than 1.08?",2
What is the Grid for Rider Ruben Xaus?,0
What was the number of Laps with a Grid of more than 3 and Time of 39:24.967?,3
"Using a Ducati 999 F06 Bike, how many Laps with a Grid greater than 11 and Time of +53.488?",3
Which Pos has a Driver of brian scott (r)?,0
"How many Pos have a Driver of todd bodine, and a Car # larger than 30?",3
"Which Car # has a Make of toyota, and a Pos of 7?",0
"How many track numbers were recorded on November 16, 1959 for the title of I Couldn't Hear Nobody Pray?",3
What is the average track number 3:25 long and a title of Great Getting up Mornin'?,5
How many Touchdowns have Field goals larger than 0?,3
"Which Extra points is the highest one that has a Player of herrnstein, and Points smaller than 30?",1
"Which Touchdowns is the lowest one that has Extra points smaller than 14, and a Player of white, and Points smaller than 5?",2
"Which Touchdowns is the lowest one that has Points of 5, and a Field goals larger than 0?",2
Which Points is the lowest one that has Touchdowns smaller than 1?,1
"What is the average week that there was a game with less than 18,517 fans attending and occurred on November 21, 1954?",5
"What is the highest week that had a game against the Pittsburgh Steelers with 22,597 fans in attendance?",1
"What is the average attendance for the game that was after week 4 and on November 14, 1954?",5
"After December 19, what is the Game number with a Record of 21–4–7?",3
What were the Points in the game with a Score of 2–7?,4
"What's the lowest bronze with a 6 rank, smaller than 5 gold, and a total of more than 1?",2
What's the Bronze cumulative number for less than 0 gold?,0
"Which average Lost has an Against larger than 19, and a Drawn smaller than 1?",5
"Which average Against has Drawn of 3, and Points larger than 9, and a Team of portuguesa?",5
"Which average Against has Points of 6, and a Played smaller than 9?",5
"Which average Points have a Position of 7, and a Lost smaller than 4?",5
"Which average Points have a Lost larger than 2, and Drawn larger than 2, and a Difference of 0?",5
"How many Extra points have Touchdowns of 1, and a Player of ross kidston, and Points smaller than 5?",3
"Which Points is the lowest one that has an Extra points of 0, and a Player of curtis redden, and Touchdowns smaller than 2?",2
"Which Extra points is the lowest one that has a Player of ross kidston, and Points smaller than 5?",2
"Which Points have Touchdowns of 1, and a Field goals smaller than 0?",0
"What is the highest week 9 that had a week 6 of 7, a week 10 of greater than 2, a week 7 of 5, and a week 11 less than 2?",1
"How much December has a Score of 5–2, and a Game smaller than 27?",3
Which Game has an Opponent of @ pittsburgh penguins?,0
"Which December has a Record of 21–7–2, and a Game larger than 30?",0
"Which December has Points of 38, and a Record of 18–6–2?",0
what year is 4:00 long,0
What round on average was a defensive tackle selected?,5
"11th of 26, and a 17th larger than 16 has what highest 30th?",1
"What is the lowest total for the silver less than 1, and a rank more than 5, more than 1 bronze?",2
"Who has a total of the Bronze less than 4, gold more than 0, and no silver?",0
"What's the Points average with a Lost of 21, and Position of 22?",5
What's the total Lost that has a Played that's larger than 42?,4
What is the lowest number of bronze medals with less than 2 silver medals and more than 1 medal in total for Uzbekistan?,2
"What is the highest round with a pick# of 11, a position of offensive tackle, and overall less than 414?",1
"What is the highest round with a pick# of 9, overll less than 468, and position of defensive back?",1
What is the highest round with a guard position and an overall greater than 71?,1
What is the total number of Issues has a End month of oct-80?,3
"What is the average number of wins of the year with less than 5 top 10s, a winning of $39,190 and less than 2 starts?",5
"What is the highest number of poles of the year before 1992 with more than 18 starts and winnings of $125,102?",1
"What's the highest Points with the Team of Tacuary, and has Losses that's smaller than 4?",1
"What's the sum of Losses that Scored larger than 15, has Points that's larger than 16, and Played that's larger than 9?",4
"What's the highest Played with a Scored of 15, and Draws that's less than 1?",1
"What's the sum of WIns with Draws that's larger than 1, Losses that's smaller than 4, and Conceded of 20?",4
"What's the lowest Position with a Conceded that's larger than 16, Draws of 3, and Losses that's larger than 3?",2
"Points larger than 6, and a Results of 522:443 had what lowest matches?",2
"Loses of 2, and a Pos. smaller than 2 had how many highest matches?",3
What is the lowest number of live births of Syria when the natural change was 9.4 and the crude death rate was greater than 29.3?,2
"What is the natural change number of Syria when there were 67,000 deaths and an average population greater than 2,820?",0
What is the earliest year having a length of 11:25?,2
What year had a version called Wolf Mix?,0
"What was the highest week with 84,856 in attendance?",1
Zack Jordan has the lowest pick and a round of less than 28?,2
What is the sum of the pick for player roger zatkoff?,4
"What is the highest number of games drawn, where the games played was less than 7?",1
Which October is the lowest one that has an Opponent of washington capitals?,2
How many Points have an Opponent of @ calgary flames?,3
What is the mean number of events where the rank is 1 and there are more than 3 wins?,5
"Which Social and Liberal Democrats/ Liberal Democrats has a Control of labour hold, and a Liberal larger than 0?",0
Which Social Democratic Party has a Green smaller than 0?,0
What is the total number of overall figures when duke was the college and the round was higher than 7?,4
Which of the highest pick numbers had a round of less than 2?,1
Which highest overall figure had Robert Alford as a name and a round of more than 2?,1
What's the Lowest Attendance with a Game site of Riverfront Stadium?,2
What's the lowest Attendance for a Week of 2?,2
What is the smallest number of total medals for Georgia with 0 silver and 1 bronze?,2
What is the lowest year that had foil team as the event at Melbourne?,2
What is the number of years that the event was foil team and took place in Los Angeles?,3
What is the smallest number of drawn games when there are fewer than 4 points and more than 4 lost games?,2
What is the sum of the points when there are fewer than 4 games?,4
"What is the highest position of the team with an against of 12, less than 11 points, more than 2 drawn, and more than 9 played?",1
"What is the average number of played of the team with 3 losses, more than 9 points, a position of 5, and less than 12 against?",5
Name the most share for anhui satellite tv,1
Name the sum of rating % for cctv and position more than 7,4
Name the average rating % for shandong satellite tv and share % less than 1.74,5
Name the sum of round for pick of 169,4
"How many games have Points smaller than 4, and an October smaller than 5?",3
"Which Game has a Record of 8–2–0, and Points larger than 16?",0
"How many games have November 7 as the date, and points greater than 17?",3
How many points have November of 15?,3
What is the average attendance that has june 24 as the date?,5
How many people attended the game that lost 2-4 and the date was higher than 15?,3
Which Game has a Series of bruins lead 3–1?,0
Which Game has a Score of 3–6?,0
What is the highest round for the Minnesota Junior Stars (Mjhl)?,1
How much Attendance has an Opponent of oxford united?,4
"How many Podiums where their total for the Series of Macau grand prix, as well as being a season before 2008?",4
How many wins where there total for Series named formula 3 euro series as well as having more than 2 Podiums?,3
"What is the largest amount of wins that was before the 2007 season, as well as the Team being silverstone motorsport academy?",1
"What is the newest Season in which had 0 Podiums, and having 1 total of Races, as well as total wins larger than 0?",1
What is the smallest capacity for Fandok?,2
What is the highest pick number of a defensive back with less than 136 overall points?,1
What is the lowest pick number of John Scully?,2
What is the total points with less than 5 games?,3
"In the Ohio 4 district, that is the first elected date that has a result of re-elected?",4
Which Year is the lowest one that has a To par of –1?,2
"What is the average total score of Belarus, which had an E score less than 8.2?",5
What is the total of the team with a T score greater than 8 and an E score less than 8.4?,3
"What is the total of Poland, which has an E score greater than 7.725?",3
What is the total of the team with a T score less than 6.8?,3
Which Round is the lowest one that has a School/Club Team of virginia?,2
"Which Year is the highest one that has a Population larger than 13,012, and a Borough of richmondshire?",1
How many people live in Norton?,4
"Which Rank is the lowest one that has a Borough of richmondshire, and a Population larger than 8,178?",2
"How many pick #'s have james britt as the name, with a round greater than 2?",3
"Which Wins is the highest one that has a Country of united states, and a Player of andy bean, and a Rank smaller than 4?",1
Which Earnings ($) is the lowest one that has a Rank smaller than 1?,2
"With an Overall less than 171, what is the Round pick of Lance Moon?",2
How many Rounds have a Defensive End Pick?,3
Which Points have an Opponent of vancouver canucks?,0
How many Points have a Score of 3–0?,3
"Which Game has Points smaller than 10, and an October larger than 12, and an Opponent of @ washington capitals?",0
What is the sum of goals for the 2004/05 Season?,4
What is the lowest caps for the Club of SBV Excelsior?,2
"Nationality of england, and a Matches smaller than 510, and a Lost of 4, and a Win % smaller than 28.6 had what lowest drawn?",2
"Win % larger than 47.1, and a Matches smaller than 145 had what lowest lost?",2
"Matches of 15, and a Win % smaller than 20 had what highest lost?",1
"Nationality of england, and a Lost larger than 39, and a Win % of 28.7, and a Drawn smaller than 37 had what sum of matches?",4
"Drawn smaller than 24, and a Lost smaller than 17, and a Win % smaller than 31.25 had how many total number of matches?",3
Lost of 18 had what sum of win %?,4
"How many players had an Att-Cmp-Int of 143–269–16, and an efficiency of less than 116.9?",3
"How many legs were won by the player who had less than 84 100+, less than 14 legs lost, and less than 3 played?",3
What is the total number of legs lost of the player with a high checkout less than 76 and less than 3 played?,3
"What is the number of legs lost of the player with more than 8 legs won, 4 played, less than 6 180s, and a 100+ greater than 46?",3
"What is the average number of legs won of the player with a high checkout greater than 96, more than 5 played, and a smaller than 95.61 3-dart average?",5
"What year did team Yamaha have 0 wins, a rank of 8th, and more than 22 points?",0
Name the total number of rounds for gina carano,3
What is k275av call sign's highest erp w?,1
Name the total number of years for quarterfinals,3
"4th Runner-up smaller than 1, and a 5th Runner-up of 0, and a Miss World smaller than 2 has which lowest 3rd Runner-up?",2
"Country/Territory of india, and a 4th Runner-up smaller than 1 has which lowest rank?",2
"Rank larger than 3, and a 6th Runner-up larger than 0, and a 5th Runner-up smaller than 1 has which lowest 1st Runner-up?",2
5th Runner-up smaller than 0 has the lowest semifinalists?,2
"3rd Runner-up of 2, and a Country/Territory of venezuela has what sum of 4th runner-up?",4
"2nd Runner-up larger than 4, and a Country/Territory of israel, and a 4th Runner-up smaller than 0 has which sum of 6th Runner-up?",4
"Which Seasonhas a Score of 3 – 3 aet , 4–3 pen?",0
How many rounds had an overall of 211?,3
What is the mean pick number for the cornerback position when the overall is less than 134?,5
"Which 1956 has a County of vâlcea, and a 2011 smaller than 371714?",0
"Which 2011 is the lowest one that has a 1948 smaller than 15872624, and a 1966 of 263103, and a 1992 larger than 266308?",2
"Which 1992 is the lowest one that has a 1977 smaller than 385577, and a 2011 larger than 340310, and a 2002 larger than 300123, and a 1948 larger than 280524?",2
"Which 1977 is the lowest one that has a County of zzz bucharest, and a 2011 smaller than 1883425?",2
"How much Played has Drawn of 2, and a Position larger than 3, and Points smaller than 10?",4
"Which average Against has a Difference of 10, and a Lost smaller than 2?",5
"How many Attendances have a Result F – A of 0 – 2, and a Date of 31 january 1903?",3
How many Attendances have a H / A of h on 7 march 1903?,3
Which game has an opponent of Phoenix Coyotes and was before Dec 9?,0
What is the December game that led to an 11-13-5 record?,0
"Which Overall has a College of florida state, and a Round larger than 2?",4
"How many Picks have a Position of kicker, and an Overall smaller than 137?",3
"How much Overall has a Pick # larger than 9, and a Round larger than 5?",4
Director of christophe barratier had what highest year?,1
What is the highest Year with of the open championship?,1
What is the average value for ERP W when frequency is more than 100.1?,5
"What is the average value of ERP W in Beardstown, Illinois for a frequency greater than 93.5?",5
What was the sum of the winner's shares for US Senior Opens won by Brad Bryant before 2007?,4
What is the average winner's share won by Billy Casper?,5
"Which Pick # is the highest one that has an Overall of 184, and a Round larger than 6?",1
How many picks have an Overall of 114?,3
"Which Overall is the highest one that has a Name of daimon shelton, and a Round larger than 6?",1
"Which Pick # is the highest one that has an Overall larger than 21, and a College of north carolina, and a Round smaller than 3?",1
What is cornell's lowest pick number?,2
"What is the average rank of a nation that had 219,721 in 2012?",5
In what Round was Pick 138?,0
What is the average frequency in MHz for stations with an ERP W of 170?,5
What is K236AM's lowest frequency in MHz?,2
"Texas Rate smaller than 32.9, and a U.S. Rate larger than 5.6 is what highest killeen rate?",1
"Killeen Rate of 511.6, and a Texas Rate smaller than 314.4 is the lowest reported offenses?",2
What are the most points for Thomas Morgenstern with a distance less than 123.5 in 2nd and rank over 4?,1
What is the sum of the distances in 2nd for ranks higher than 4 and distance for 1st less than 111.5?,4
What is the gold medal count that has a silver medal count less than 0?,0
What is the average number of students for schools with a pupil to teacher ratio of 25.1?,5
What is the lowest pupil to teacher ratio for Saratoga schools with smaller than 1213 students?,2
What is the highest number of students for schools in Campbell with pupil to teacher ratios over 25?,1
Name the most rank for wins outdoor larger than 1 and wins indoor less than 0,1
Name the most rank for uk and wins more than 5,1
Name the average wins outdoor with rank more than 4 and wins less than 3 with outdoor wins more than 0,5
Name the most wins total with wins indoor of 0 and wins outdoor of 1 with rank less than 7,1
"How much Average has a Team of san lorenzo, and a 1990-1991 smaller than 45?",3
"Which Played is the lowest one that has a 1989-90 of 39, and a Team of gimnasia de la plata, and Points larger than 108?",2
"Which 1990-1991 is the average one that has Played of 38, and Points of 40?",5
How many years have 78 for points?,3
What is the lowest year that have wins greater than 0?,2
"What are the highest points that have a year less than 1992, with wins less than 0?",1
What was the lowest attendance at a game against the St. Louis Cardinals?,2
"What is the population of the Parish, Plumbland, that had a former local authority of Cockermouth Rural District?",0
What year featured lola motorsport as an entrant with over 0 points?,0
When is the earliest year that there's a judd engine?,2
How many ships are named Monge?,3
"Which Round has a College of stanford, and an Overall smaller than 8?",0
"How many Picks have a College of tennessee, and an Overall smaller than 270?",3
"Which Pick # is the lowest one that has a College of troy state, and a Name of reggie dwight, and an Overall smaller than 217?",2
What's the smallest amount of earnings when the wins are less than 72 and the rank is more than 3?,2
"What's the least amount of wins with earnings that are more than $2,556,043, and where Lee Trevino is a player?",2
What's the smallest amount of earnings when there are more than 18 wins and the rank is 2?,2
What is the lowest number of losses for a team with more than 0 wins?,2
What is the average number of losses for teams with fewer than 0 wins?,5
What is the average number of wins for Runcorn Highfield with more than 0 draws?,5
What is the lowest number of losses for Nottingham City with fewer than 0 wins?,2
What is the weight of the player from the Philadelphia 76ers?,0
"Which average one that has a February larger than 20, and a Record of 41–17–4, and Points smaller than 86?",5
What was the largest number of people in attendance of the game with a W 14-3 result after week 10?,1
"Which Pocona Municipality (%) is the lowest one that has a Puerto Villarroel Municipality (%) smaller than 14.6, and a Chimoré Municipality (%) of 5.1, and an Entre Ríos Municipality (%) smaller than 0.9?",2
"Which Puerto Villarroel Municipality (%) is the lowest one that has an Ethnic group of not indigenous, and a Totora Municipality (%) smaller than 4.4?",2
"Which Pocona Municipality (%) has a Puerto Villarroel Municipality (%) larger than 14.6, and a Pojo Municipality (%) smaller than 88.5?",0
"Which Totora Municipality (%) is the highest one that has a Chimoré Municipality (%) of 5.1, and a Pocona Municipality (%) smaller than 0.2?",1
"Which Pos has a Car # smaller than 18, and a Driver of mike skinner?",0
"Which Pos has a Team of roush fenway racing, and a Car # of 99?",0
"Which Car # has a Make of toyota, and a Pos of 7?",0
Which Game has a Series of flyers win 3–0? Question 3,0
"Which Points is the highest one that has a Nationality of aut, and a Name of thomas morgenstern?",1
What is the sum of the capacities for Carrigh wind warm that has a size of 0.85 MW and more than 3 turbines?,4
"What is the population where the rank is higher than 51 and the Median House-hold income is $25,250?",0
"What is the Population where the Median House-hold Income is $25,016?",0
"What is the Number of Households that have a Per Capita Income of $21,345?",3
"The United States, with a total medal count of less than 171, and a bronze medal count less than 9, has how many gold medals?",3
How many total gold medals did Australia receive?,3
How many total bronze medals did Canada receive?,3
"What is the largest Grid that has a Bike of honda cbr1000rr, and a Time of +20.848, and a Lap greater than 24?",1
The nation of denmark has what average total nad more than 0 gold?,5
Switzerland has how many gold and less than 0 silver?,3
"How many wins does the player ranked lower than 3 with earnings of $3,315,502 have?",3
"What is the highest number of wins of the player with less than $4,976,980 in earnings and a rank lower than 4?",1
How many years had a score of 734-5d?,3
What is the average number of top-5s for the major with 5 top-10s and fewer than 12 cuts made?,5
What is the average number of top-10s for the major with 2 top-25s and fewer than 10 cuts made?,5
What is the total number of top-25s for the major that has 11 top-10s?,3
"How many total events have cuts made over 12, more than 2 top-5s, and more than 11 top-10s?",3
How many total wins are associated with events with 1 top-10?,3
What is the average number of cuts made in events with fewer than 1 win and exactly 11 top-10s?,5
"What was the highest number of extra points scored by Albert Herrnstein, when he scored more than 15 points total?",1
What is the highest overall prior to 1996 with a slalom of 39?,1
What is the lowest overall score prior to 1992 with a downhill score of 1?,2
What was her highest Super G score with a Slalom score of 58 and an Overall larger than 2?,1
How many values of first elected are for district 16?,3
How many deposits had a Non-Interest Income of 0.9500000000000001 and number of branch/offices less than 17?,3
When was Color of green first issued?,2
When was Color of green last issued?,1
What is BYU's lowest pick?,2
Which cornerback round has a pick number lower than 26 and an overall higher than 41?,0
What is the overall number for the College of Wyoming?,3
What is the total round for a wide receiver with an overall of more than 145?,3
How many are enrolled at 49 Marion with the Warriors as their mascot?,3
What's the enrollment at 41 Johnson?,0
What is the lowest number of points of the game before game 2 before October 10?,2
How many years has 1 run?,3
What year was in Aigburth?,0
Which season has q145 as its format?,0
What is the average episode number with q146 format?,5
What is the sum of Gold with Participants that are 4 and a Silver that is smaller than 0?,4
How many Points a February smaller than 1 have?,3
How many February days have Points of 63 and a Score of 1–2?,3
What is the number of earning for more than 2 wins and less than 25 events?,4
"What is the largest events number for more than 2 wins and less than $446,893 in earnings?",1
"What is the largest events with earning less than $384,489 ranked more than 4 with less than 1 win?",1
Which average Drawn has Games larger than 7?,5
"Which Car # has a Make of toyota, and a Driver of mike skinner, and a Pos larger than 3?",0
How many households are in highlands county?,3
What is the number of Bronze medals of the Nation with 64 total and silver greater than 16?,3
What is the bronze for Kyrgyzstan nation with a silver record of greater than 0?,0
"What is the gold for the nation with a record of bronze 1, Syria nation with a grand total less than 1?",0
"What is the number of weeks where the venue was memorial stadium and the attendance was less than 41,252?",3
"What is the sum of the weeks that games occured on october 21, 1974 and less than 50,623 fans attended?",4
"How many bronzes for the nation ranked 14th, with over 14 golds and over 25 silvers?",3
How many total medals for germany with under 56 bronzes?,4
How many total medals for the nation with 1 gold and 6 bronzes?,3
"What week shows for december 31, 1993?",0
What Week has a Result of l 17-14?,0
How many years have a position of 2nd?,3
What is the average round for draft pick #49 from Notre Dame?,5
How much Overall has a Pick # of 26?,4
"How much Overall has a Round smaller than 6, and a Pick # of 26?",4
What is Roy Hall's highest round?,1
"How much Overall has a Pick # larger than 2, and a Name of claude humphrey?",3
When is the latest year that an entrant has toro rosso str1 chassis and under 1 point?,1
How many entrants have a mercedes fo 108w 2.4l v8 engine and over 0 points?,3
"What is the lowest Top-25 for the open championship, with a Top-10 larger than 3?",2
"What is the highest Top-5 when the Tournament is the open championship, with a Top-25 less than 9?",1
"What is the average Top-25 that has a Top-10 less than 7, and the Tournament is the open championship, with a Top-5more than 1?",5
"What is the total number of Top-5 when the Top-25 is 6, and a Cuts made are less than 12?",3
"What was the latest week with a date of November 12, 1967 and less than 34,761 in attendance?",1
What is the total for New York's game?,4
How many losses had a total of 17 and more than 10 wins?,3
What is the smallest no result when the year was 2012 and there were more than 10 wins?,2
What is the total number of round values that had opponents named Paul Sutherland?,3
"When the played number is less than 8 and against is 23, what is the least amount of points?",2
"When the corinthians have a position of less than 5, what is the average against?",5
What position has less than 6 Points?,0
What is the number of against when the difference is 10 and played is greater than 8?,3
How many years has the Mercury Prize award been given?,3
For how many years has the Mercury Prize been awarded?,3
"What is the lowest Points when against is 50, and there are less than 20 played?",2
What is the average Position with less than 57 against and the team is Juventus?,5
"What is the highest Position when the against is less than 41, and lost is more than 7?",1
What is the average Lost when there are 57 against?,5
"What is the lowest Lost for são paulo railway, Points more than 21?",2
"What is the of Fleet size with a IATA of pr, and a Commenced operations smaller than 1941?",0
What is the highest Pick # when the CFL Team is the Toronto Argonauts?,1
What is the latest year of a gratitude type mission with 99 in the entourage?,1
What is the average Attendance at a game with a Result of w 30-23?,5
What is the lowest Attendance at a game with the Result of w 25-17?,2
"What is the sum of Top-10(s), when Cuts made is less than 10, and when Top-5 is less than 0?",4
"What is the lowest Top-25, when Events is 10, and when Wins is greater than 0?",2
"What is the lowest Top-5, when Top-25 is less than 4, and when Cuts made is less than 7?",2
What was Italy's highest total when there were less than 4 bronze and 1 gold?,1
How many totals had more than 4 bronze?,3
What was Austria's lowest total when the gold was more than 3?,2
What is the average total for Tiger Woods?,5
How many total No Results occured when the team had less than 46 wins and more than 16 matches?,3
"When the team had more than 46 wins, what were the average losses?",5
How many total No Results are recorded for less than 6 wins?,3
What is the lowest game number with Aris Thessaloniki with points smaller than 120?,2
What is the game average that has a rank larger than 2 with team Olympiacos and points larger than 113?,5
What was the Purse ($) total for Iowa?,0
What is the smallest number of losses for a position greater than 2 with 4 points and more than 2 draws?,2
How many points occurred with a difference of 2 for position less than 4?,3
What is the highest number of points for a position less than 3 and less than 1 loss?,1
What is the lowest order with a Minister that is joe hockey?,2
What is the average number of top-10s for events under 57 and 0 top-5s?,5
What is the average number of top-10s for events with more than 12 cuts made and 0 wins?,5
What is the average number of top-25s for events with less than 2 top-10s?,5
What's the smallest March when the record is 22-12-6?,2
"What is the highest Total for the rank 12, and gold less than 0?",1
"What is the total number of Total when the Silver is less than 2, and a Bronze is less than 0?",3
What is the total number of votes from the Labour Party?,3
How many numbers had Brandon Dean as a name?,3
What is the Total againsts for the Sant'Anna team with a position number greater than 10?,3
"What is the total number of games played with 3 losses, 1 or more drawns and 10 or fewer points?",4
What is the average lost of games played of more than 9?,5
What is the lowest number of bronze medals for Great Britain with more than 2 medals total?,2
What is the lowest wins the club with a position of 4 and less than 4 losses has?,2
"What is the sum of the points of club nevėžis-2 kėdainiai, which has more than 35 goals conceded?",4
What is the total number of games played of the team with 4 wins and a position less than 9?,3
